키,논문제목,총저자수,저자역할,게재면,val_title,val_pages,val_rank
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,Syringaresinol Reverses Age-Related Skin Atrophy by Suppressing FoxO3a-Mediated Matrix Metalloproteinase-2 Activation in SOD-deficient mice,10,제1저자,139(3):648-655,valid,invalid,valid
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,AKT-targeted Anti-Inflammatory Activity of Panax ginseng Calyx Ethanolic Extract,8,제1저자,42(4):496-503,valid,valid,invalid
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,Effect of Polysaccharides From a Korean Ginseng Berry on the Immunosenescence of Aged Mice,8,제1저자,42(4):447-454,valid,valid,invalid
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,Antimelanogenesis and Skin-Protective Activities of Panax ginseng Calyx Ethanol Extract,13,공동저자,42(3):389-399,valid,invalid,valid
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,"Efficacy and Safety of Panax ginseng Berry Extract on Glycemic Control: A 12-wk Randomized, Double-Blind, and Placebo-Controlled Clinical Trial",9,공동저자,42(1):90-97,valid,invalid,valid
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,Effects of Korean Ginseng Berry on Skin Antipigmentation and Antiaging via FoxO3a Activation,10,제1저자,41(3):277-283,valid,invalid,valid
2006160C467DBDDF2C89AB65AA1554EB34846A4B5,Small molecule from natural phytochemical mimic dietary restriction by modulating FoxO3a and metabolic reprogramming,9,제1저자,201900248,valid,invalid,valid
2006160C6CA8B39E49475F878F3466F9776BE1859,문화콘텐츠산업 창의인재 양성정책이 촉진하는 창의성 영향요인 및 맥락에 대한 연구,1,제1저자,305-343,valid,valid,valid
2006160C6CA8B39E49475F878F3466F9776BE1859,예술인 근로자 의제’에 대한 재 고찰:「예술인복지법」국회 논의 과정을 중심으로,1,제1저자,39-75,valid,valid,valid
2006160C6CA8B39E49475F878F3466F9776BE1859,일로부터 추구하는 ‘재미’의 중요성 - 창의 노동과 내재적 동기의 관계에 대한 고찰,1,제1저자,115-144,valid,valid,valid
2006160C6CA8B39E49475F878F3466F9776BE1859,THE CONTENT AND ROLE OF INTRINSIC MOTIVATION IN CREATIVE WORK: THE IMPORTANCE OF SEEKING ‘ENJOYMENT’,1,제1저자,280-290,valid,valid,valid
2006160C91ECB4EB22EB8DCEF92AA69E6093E5A60,Cancer-Cell Imaging Using Copper-Doped Zeolite Imidazole Framework-8 Nanocrystals Exhibiting Oxidative Catalytic Activity,3,제1저자,2641-2648,valid,valid,invalid
2006160C91ECB4EB22EB8DCEF92AA69E6093E5A60,Label-Free Tomographic Imaging of Lipid Droplets in Foam Cells for Machine-Learning-Assisted Therapeutic Evaluation of Targeted Nanodrugs,10,제1저자,1856-1865,valid,valid,valid
2006160C91ECB4EB22EB8DCEF92AA69E6093E5A60,A hydrazide organogelator for the fluoride sensing with hyperchromicity and gel-to-sol transition,4,제1저자,14243-14248,valid,valid,valid
