,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,
33,Electrochromic niobium oxide nanorods,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=1&SID=D16RhW27M5mctw76iWf&page=1&doc=1,,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Cabezas Camila Saez, Ong Gary, Skjaervo Susanne, Milliron Delia",0,Meeting Abstract,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,
34,"Spectrally tunable infrared plasmonic F,Sn:In2O3 nanocrystal cubes",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=2&SID=D16RhW27M5mctw76iWf&page=1&doc=1,Milliron DJ,"AMER INST PHYSICS, 1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA","Cho Shin Hum, Roccapriore Kevin M., Dass Chandriker Kavir, Ghosh Sandeep, Choi Junho, Noh Jungchul, Reimnitz Lauren C., Heo Sungyeon, Kim Kihoon, Xie Karen",14709,Article,JOURNAL OF CHEMICAL PHYSICS,
35,Enhanced Coloration Efficiency of Electrochromic Tungsten Oxide Nanorods by Site Selective Occupation of Sodium Ions,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=4&SID=D16RhW27M5mctw76iWf&page=1&doc=1,Milliron DJ,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Heo Sungyeon, Dahlman Clayton J., Staller Corey M., Jiang Taizhi, Dolocan Andrei, Korgel Brian A., Milliron Delia J.",2072-2079,Article,NANO LETTERS,
36,Charge carrier concentration dependence of ultrafast plasmonic relaxation in conducting metal oxide nanocrystals,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=6&SID=D16RhW27M5mctw76iWf&page=1&doc=1,Roberts ST,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Johns Robert W., Blemker Michelle A., Azzaro Michael S., Heo Sungyeon, Runnerstrom Evan L., Milliron Delia J., Roberts Sean T.",5757-5763,Article,JOURNAL OF MATERIALS CHEMISTRY C,
37,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,
39,0,0,0,0,0,0,0,0,
40,In vivo rendezvous of small nucleic acid drugs with charge-matched block catiomers to target cancers,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=12&SID=D16RhW27M5mctw76iWf&page=1&doc=1,"Miyata K, Kataoka K","NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Watanabe Sumiyo, Hayashi Kotaro, Toh Kazuko, Kim Hyun Jin, Liu Xueying, Chaya Hiroyuki, Fukushima Shigeto, Katsushima Keisuke, Kondo Yutaka, Uchida Satoshi",1894,Article,NATURE COMMUNICATIONS,
41,Small Delivery Vehicles of siRNA for Enhanced Cancer Targeting,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=15&SID=D16RhW27M5mctw76iWf&page=1&doc=1,Miyata K,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Kim Hyun Jin, Yi Yu, Kim Ahram, Miyata Kanjiro",2377-2390,Review,BIOMACROMOLECULES,
42,Tuned Density of Anti-Tissue Factor Antibody Fragment onto siRNA-Loaded Polyion Complex Micelles for Optimizing Targetability into Pancreatic Cancer Cells,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=18&SID=D16RhW27M5mctw76iWf&page=1&doc=1,"Miyata K, Kataoka K","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Min Hyun Su, Kim Hyun Jin, Ahn Jooyeon, Naito Mitsuru, Hayashi Kotaro, Toh Kazuko, Kim Beob Soo, Matsumura Yasuhiro, Kwon Ick Chan, Miyata Kanjiro",2320-2329 특별호: SI,Article,BIOMACROMOLECULES,
43,0,0,0,0,0,0,0,0,
44,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,
47,Virus-Mimicking Chimaeric Polymersomes Boost Targeted Cancer siRNA Therapy In Vivo,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=3&SID=D4mVFJRkOkCm3XJuyz9&page=1&doc=1,"Kataoka K, Zhong ZY","WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Zou Yan, Zheng Meng, Yang Weijing, Meng Fenghua, Miyata Kanjiro, Kim Hyun Jin, Kataoka Kazunori, Zhong Zhiyuan",1703285,Article,ADVANCED MATERIALS,
48,DNA-SWCNT Biosensors Allow Real-Time Monitoring of Therapeutic Responses in Pancreatic Ductal Adenocarcinoma,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=4&SID=D4mVFJRkOkCm3XJuyz9&page=1&doc=1,Mukhopadhyay D,"AMER ASSOC CANCER RESEARCH, 615 CHESTNUT ST, 17TH FLOOR, PHILADELPHIA, PA 19106-4404 USA","Bhattacharya Santanu, Gong Xun, Wang Enfeng, Dutta Shamit K., Caplette Joseph R., Son Manki, Nguyen Freddy T., Strano Michael S., Mukhopadhyay Debabrata",4515-4523,Article,CANCER RESEARCH,
49,The bioelectronic nose and tongue using olfactory and taste receptors: Analytical tools for food quality and safety assessment,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=7&SID=D4mVFJRkOkCm3XJuyz9&page=1&doc=1,Park TH,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Son Manki, Park Tai Hyun",371-379,Review,BIOTECHNOLOGY ADVANCES,
50,"A triangle study of human, instrument and bioelectronic nose for non-destructive sensing of seafood freshness",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=9&SID=D4mVFJRkOkCm3XJuyz9&page=1&doc=1,Choi SS,"NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Lee Kyung Mi, Son Manki, Kang Ju Hee, Kim Daesan, Hong Seunghun, Park Tai Hyun, Chun Hyang Sook, Choi Shin Sik",547,Article,SCIENTIFIC REPORTS,
51,Mechanical response of common millet (Panicum miliaceum) seeds under quasi-static compression: Experiments and modeling,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=12&SID=D4mVFJRkOkCm3XJuyz9&page=1&doc=1,"Li YN, Song JH","ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Hasseldine Benjamin P. J., Gao Chao, Collins Joseph M., Jung Hyun-Do, Jang Tae-Sik, Song Juha, Li Yaning",102-113 특별호: SI,Article,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,
52,A crack-free anti-corrosive coating strategy for magnesium implants under deformation,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=15&SID=D4mVFJRkOkCm3XJuyz9&page=1&doc=1,"Li YN, Song JH","PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Cheon Kwang-Hee, Gao Chao, Kang Min-Ho, Jung Hyun-Do, Jang Tae-Sik, Kim Hyoun-Ee, Li Yaning, Song Juha",116-124,Article,CORROSION SCIENCE,
