,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
832,203010,224,0,0,0,0,0,0,0,0,0,unknown--
833,203010,225,0,0,0,0,0,0,0,0,0,unknown--
834,203010,226,0,0,0,0,0,0,0,0,0,unknown--
835,203010,227,All-Fibrous Pyroprotein-Based Monolithic Electrodes Containing Heteroatoms for Sodium-Ion Hybrid Capacitors,진형준 /HYOUNGJOON JIN,한국고분자학회,"이민의 /Lee Min Eui, 곽효원 /Kwak Hyo Won, 김하영 /Kim Hayoung",497-503,0,Macromolecular Research,2019.05,"이민의 /Lee Min Eui[인하대학교], 곽효원 /Kwak Hyo Won[서울대학교], 김하영 /Kim Hayoung[인하대학교], 진형준 /HYOUNGJOON JIN[인하대학교]",valid
836,203010,228,황산을 이용한 미세섬유화 공정이 셀룰로오스 나노섬유의 코팅 및 배리어 특성에 미치는 영향,0,한국고분자학회,"곽효원 /Kwak Hyo Won, 허재은 /Jae Eun Heo, 허경아 /Kyeonga Her, 이호현 /Lee Hohyun, 진형준 /HYOUNGJOON JIN, 심봉섭 /SHIM BONG SUP",32-37,0,폴리머,2019.01,"곽효원 /Kwak Hyo Won[인하대학교 고분자연구소], 허재은 /Jae Eun Heo[인하대학교], 허경아 /Kyeonga Her[인하대학교], 이호현 /Lee Hohyun[인하대학교], 진형준 /HYOUNGJOON JIN[인하대학교], 심봉섭 /SHIM BONG SUP[인하대학교]",invalid (0.13)
837,203010,229,0,0,0,0,0,0,0,0,0,unknown--
838,203010,230,미니 유화 중합을 통한 프탈로시아닌 안료의 캡슐화에 분산제가 미치는 영향,진형준 /HYOUNGJOON JIN,한국고분자학회,"곽효원 /Kwak Hyo Won, 한재훈 /Jae-Hun Han, 홍연경 /Yeonkyung Hong, 엄정주 /Jungju Eom, 이진균 /Jin-Kyun Lee",716-721,0,폴리머,2019.09,"곽효원 /Kwak Hyo Won[서울대학교], 한재훈 /Jae-Hun Han[인하대학교], 홍연경 /Yeonkyung Hong[인하대학교], 엄정주 /Jungju Eom[인하대학교], 이진균 /Jin-Kyun Lee[인하대학교], 진형준 /HYOUNGJOON JIN[인하대학교]",invalid (0.12)
839,203010,232,0,0,0,0,0,0,0,0,0,unknown--
840,203010,233,0,0,0,0,0,0,0,0,0,unknown--
841,203010,234,0,0,0,0,0,0,0,0,0,unknown--
