,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title,0
2627,2627,219018,14,Attenuated Lymphatic Proliferation Ameliorates Diabetic Nephropathy and High-Fat Diet-Induced Renal Lipotoxicity,Park C.W.,Nature Publishing Group,"Kim Yonggoo, Hwang Seundeuk, Lim Ji-hee, Kim Minyoung, Kim Eun-nim, Choi Beom-soon, Kim Yong-soo, Kim Hyewon, Park Cheol-whee",1994,Article,Scientific ReportsOpen Access,1 December 2019,"Kim Yonggoo[The Catholic University of Korea], Hwang Seundeuk[Inha University], Lim Ji-hee[The Catholic University of Korea], Kim Minyoung[The Catholic University of Korea], Kim Eun-nim[The Catholic University of Korea], Choi Beom-soon[The Catholic University of Korea], Kim Yong-soo[The Catholic University of Korea], Kim Hyewon[Yonsei University], Park Cheol-whee[The Catholic University of Korea]",valid,0
2628,2628,219018,19,The Impact of Comorbidity Burden on The Association between Vascular Access Type and Clinical Outcomes among Elderly Patients Undergoing Hemodialysis,Lee S.W.,Nature Research,"Jhee Jong-hyun, Hwang Seundeuk, Song Joon-ho, Lee Seoungwoo",18156,Article,Scientific ReportsOpen Access,1 December 2019,"Jhee Jong-hyun[Severance Hospital], Hwang Seundeuk[Inha University], Song Joon-ho[Inha University], Lee Seoungwoo[Kyungpook National University]",valid,0
2629,2629,219019,6,Actinomycotic osteomyelitis of a long bone in an immunocompetent adult: A case report and literature review,Kim M.K.,BioMed Central Ltd.,"Ryu Dongjin, Jeon Yoon-sang, Kwon Heayoon, Choi Suk-jin, Roh Tae-hoon, Kim Myung-ku",185,Article,BMC Musculoskeletal DisordersOpen Access,1 May 2019,"Ryu Dongjin[Inha University Hospital], Jeon Yoon-sang[Inha University], Kwon Heayoon[Inha University Hospital], Choi Suk-jin[Inha University], Roh Tae-hoon[Inha University Hospital], Kim Myung-ku[Inha University Hospital]",valid,0
2630,2630,219019,8,Treatment of acute shoulder infection: can osseous lesion be a rudder in guideline for determining the method of débridement?,Rhee Y.G.,Mosby Inc.,"Lee Dong-ki, Rhee Sung-min, Jeong Ho-yeon, Ro Kyunghan, Jeon Yoon-sang, Rhee Y. G.",2317-2325,Article,Journal of Shoulder and Elbow Surgery,December 2019,"Lee Dong-ki[Narsha Hospital], Rhee Sung-min[Kyung Hee University], Jeong Ho-yeon[Kyung Hee University], Ro Kyunghan[Bonbridge Hospital], Jeon Yoon-sang[Inha University], Rhee Y. G.[Kyung Hee University]",valid,0
2631,2631,219021,6,Electrodiagnostic data-driven clustering identifies a prognostically different subgroup of patients with chronic inflammatory demyelinating polyneuropathy,Sung J.-J.,BMJ Publishing Group,"Baek Seol-hee, Hong Yoon Ho, Choi Seok-jin, Ahn Sohyun, Park Kee-hong, Shin Je-young, Sung Jung-joon",674-680,Article,"Journal of Neurology, Neurosurgery and Psychiatry",1 June 2019,"Baek Seol-hee[Korea University Medical Center], Hong Yoon Ho[Seoul National University College of Medicine], Choi Seok-jin[Inha University], Ahn Sohyun[Seoul National University Hospital], Park Kee-hong[Gyeongsang National University], Shin Je-young[Seoul National University College of Medicine], Sung Jung-joon[Seoul National University College of Medicine]",valid,0
2632,2632,219022,6,"Comparison of stone-free rates following shock wave lithotripsy, percutaneous nephrolithotomy, and retrograde intrarenal surgery for treatment of renal stones: A systematic review and network meta-analysis",Lee J.Y.,Public Library of Science,"Chung Doo-yong, Kang Dong-hyuk, Cho Kang-soo, Jeong Won-sik, Jung Hae-do, Kwon Jong Kyou, Lee Seon-heui, Lee Joo-yong",e0211316,Article,PLoS ONEOpen Access,February 2019,"Chung Doo-yong[Severance Hospital], Kang Dong-hyuk[Inha University], Cho Kang-soo[Severance Hospital], Jeong Won-sik[Gwangju Christian Hospital], Jung Hae-do[Severance Hospital], Kwon Jong Kyou[Yonsei University Health System], Lee Seon-heui[Gachon University], Lee Joo-yong[Severance Hospital]",valid,0
2633,2633,219022,7,Does an alternative sunitinib dosing schedule really improve survival outcomes over a conventional dosing schedule in patients with metastatic renal cell carcinoma? An updated systematic review and meta-analysis,Cho K.S.,MDPI AG,"Chung Doo-yong, Kang Dong-hyuk, Kim Jong-won, Kim Do-kyung, Lee Joo-yong, Hong Chang-hee, Cho Kang-su",1830,Article,CancersOpen Access,December 2019,"Chung Doo-yong[Inha University], Kang Dong-hyuk[Inha University], Kim Jong-won[Severance Hospital], Kim Do-kyung[Soonchunhyang University], Lee Joo-yong[Severance Hospital], Hong Chang-hee[Yonsei University College of Medicine], Cho Kang-su[Severance Hospital]",valid,0
2634,2634,219023,3,0,0,0,0,0,0,0,0,0,unknown--,0
2635,2635,219023,4,0,0,0,0,0,0,0,0,0,unknown--,0
2636,2636,219023,5,Adipose-derived mesenchymal stem cells regenerate radioiodine-induced salivary gland damage in a murine model,Choi J.-S.,Nature Publishing Group,"Kim Ji-won, Kim Jeong-mi, Choi Mi-eun, Kim Seok-ki, Kim Young-mo, Choi Jeong-seok",15752,Article,Scientific ReportsOpen Access,1 December 2019,"Kim Ji-won[Inha University], Kim Jeong-mi[Inha University], Choi Mi-eun[Inha University], Kim Seok-ki[National Cancer Center], Kim Young-mo[Inha University], Choi Jeong-seok[Inha University]",valid,0
2637,2637,219023,6,Association between salivary secretary function and laryngopharyngeal reflux: a prospective study,Kim Y.-M.,Mosby Inc.,"Kim Ji-won, Kim Hong-ju, Park Ki-ik, Kim Young-mo, Choi Jeong-seok",615-620.e1,Article,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",December 2019,"Kim Ji-won[Inha University], Kim Hong-ju[Inha University], Park Ki-ik[Inha University], Kim Young-mo[Inha University], Choi Jeong-seok[Inha University]",valid,0
2638,2638,219023,7,Does salivary function decrease in proportion to radioiodine dose?,Choi J.-S.,John Wiley and Sons Inc.,"Kim Ji-won, Kim Jeong-mi, Choi Mi-eun, Kim Seok-ki, Kim Young-mo, Choi Jeong-seok",2019,Article,Laryngoscope,2019,"Kim Ji-won[Inha University], Kim Jeong-mi[Inha University], Choi Mi-eun[Inha University], Kim Seok-ki[National Cancer Center], Kim Young-mo[Inha University], Choi Jeong-seok[Inha University]",valid,0
2639,2639,219023,8,Fucoidan attenuates radioiodine-induced salivary gland dysfunction in mice,Choi J.-S.,BioMed Central Ltd.,"Kim Young-mo, Kim Jeong-mi, Kim Ji-won, Choi Mi-eun, Kim Seok-ki, Choi Jeong-seok",198,Article,BMC Oral HealthOpen Access,30 August 2019,"Kim Young-mo[Inha University], Kim Jeong-mi[Inha University], Kim Ji-won[Inha University], Choi Mi-eun[Inha University], Kim Seok-ki[National Cancer Center], Choi Jeong-seok[Inha University]",valid,0
2640,2640,219023,9,Tongue base varix as a source of oral bleeding: A case report,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Kim Young-mo, Kim Ji-won, Park In-suh, Choi Jeong-seok",e16987,Article,MedicineOpen Access,1 October 2019,Park In-suh[Inha University],valid,0
2641,2641,219023,10,Protective effects of curcumin on radioiodine-induced salivary gland dysfunction in mice,Choi J.-S.,John Wiley and Sons Ltd,"Kim Jeong-mi, Kim Ji-won, Choi Mi-eun, Kim Seok-ki, Kim Young-mo, Choi Jeong-seok",674-681,Article,Journal of Tissue Engineering and Regenerative Medicine,April 2019,"Kim Jeong-mi[Inha University], Kim Ji-won[Inha University], Choi Mi-eun[Inha University], Kim Seok-ki[National Cancer Center], Kim Young-mo[Inha University], Choi Jeong-seok[Inha University]",valid,0
2642,2642,219024,25,0,0,0,0,0,0,0,0,0,unknown--,0
2643,2643,219025,1,0,0,0,0,0,0,0,0,0,unknown--,0
2644,2644,219025,47,0,0,0,0,0,0,0,0,0,unknown--,0
2645,2645,219026,9,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,Park R.C.,Springer New York LLC,"Kim Jonghun, Jang Heetae, Kim Jong-tak, Pan Hee-jun, Park Roy C.",655-671,Article,Wireless Personal Communications,30 March 2019,"Kim Jonghun[Inha University], Kim Jong-tak[MSU], Pan Hee-jun[MSU], Park Roy C.[Sangji University]",valid,0
2646,2646,219026,10,0,0,CRC Press/Balkema,0,0,Conference Paper,0,0,0,unknown--,0
2647,2647,219026,15,Activity-based nutrition management model for healthcare using similar group analysis,Kim J.,IOS Press,"Chung Kyungyong, Kim Jonghun",473-485,Article,Technology and Health Care,2019,"Chung Kyungyong[Kyonggi University], Kim Jonghun[Inha University]",valid,0
2648,2648,219026,16,Cloud-based ontology context mining using deep learning in healthcare,Jung H.,Blue Eyes Intelligence Engineering and Sciences Publication,"Baek Ji-won, Chung Kyungyong, Kim Jonghun, Jung Hoill",296-300,Article,International Journal of Innovative Technology and Exploring Engineering,June 2019,"Baek Ji-won[Kyonggi University], Chung Kyungyong[Kyonggi University], Kim Jonghun[Inha University], Jung Hoill[Daelim University College]",valid,0
2649,2649,219028,11,Cultural differences on the recognition of social word AAC graphic symbols between Korean and American Undergraduate Students,Kim Y.T.,Korean Academy of Speech-Language Pathology and Audiology,"Kang Rowon, Kim Young-tae, Yeon Seokjeong",71-86,Article,Communication Sciences and Disorders,1 March 2019,"Kang Rowon[Ewha Womans University], Kim Young-tae[Ewha Womans University], Yeon Seokjeong[Inha University]",valid,0
2650,2650,219028,14,0,0,0,0,0,0,0,0,0,unknown--,0
2651,2651,219281,1,Au-doped PtCo/C catalyst preventing Co leaching for proton exchange membrane fuel cells,Ham H.C.,Elsevier B.V.,"Choi Juhyuk, Cho Jinwon, Roh Chi Woo, Kim Beom-sik, Choi Min-suk, Jeong Hojin, Ham Hyungchul, Lee Hyunjoo",142-149,Article,Applied Catalysis B: Environmental,15 June 2019,"Choi Juhyuk[Korea Advanced Institute of Science & Technology], Cho Jinwon[Korea Institute of Science and Technology], Roh Chi Woo[Korea Advanced Institute of Science & Technology], Kim Beom-sik[Korea Advanced Institute of Science & Technology], Choi Min-suk[Korea Advanced Institute of Science & Technology], Jeong Hojin[Korea Advanced Institute of Science & Technology], Ham Hyungchul[Inha University], Lee Hyunjoo[Korea Advanced Institute of Science & Technology]",valid,0
2652,2652,219281,3,0,0,0,0,0,0,0,0,0,unknown--,0
2653,2653,219281,4,Combined experimental and density functional theory (DFT) studies on the catalyst design for the oxidative coupling of methane,Ham H.C.,Academic Press Inc.,"Lim Seoyeon, Choi J. W., Suh Dong-jin, Song Kyoung-ho, Ham Hyungchul, Ha Jeong-Myeong",478-492,Article,Journal of Catalysis,July 2019,"Lim Seoyeon[Korea University], Choi J. W.[Korea Institute of Science and Technology], Suh Dong-jin[Korea University], Song Kyoung-ho[Korea University], Ham Hyungchul[Inha University], Ha Jeong-Myeong[Korea Institute of Science and Technology]",valid,0
2654,2654,219281,5,Promoting effect of H2O over macroporous Ce-Zr catalysts in soot oxidation,Lee K.-Y.,Elsevier B.V.,"Sun Park Chung, Lee Minwoo, Lee Jae-hwan, Jeong Eun-jin, Lee Seong-ho, Choung Jong-hyun, Kim Chang Hwan, Ham Hyungchul, Lee Kwan Young",110416,Article,Molecular Catalysis,September 2019,"Sun Park Chung[Korea University], Lee Minwoo[Korea University], Lee Jae-hwan[Korea University], Jeong Eun-jin[Korea University], Lee Seong-ho[Korea University], Choung Jong-hyun[Hyundai Motor Company], Kim Chang Hwan[Hyundai-Kia Motors R&D Center], Ham Hyungchul[Inha University], Lee Kwan Young[Korea University]",valid,0
2655,2655,219281,6,High-performance corrosion-resistant fluorine-doped tin oxide as an alternative to carbon support in electrodes for PEM fuel cells,Kim J.Y.,Elsevier Ltd,"Kim Jong-min, Lee Yeojin, Kim Seung-hoon, Chae Keun Hwa, Yoon Ki-ro, Lee Kyung-ah, Byeon Ayeong, Kang Yun-sik, Park Heeyoung, Cho Min-kyung, Ham Hyungchul, Kim Jin-young",104008,Article,Nano Energy,November 2019,"Kim Jong-min[Korea Institute of Science and Technology], Lee Yeojin[Sungkyunkwan University], Kim Seung-hoon[Korea University], Chae Keun Hwa[Korea Institute of Science and Technology], Yoon Ki-ro[Korea Institute of Industrial Technology Evaluation and Planning], Lee Kyung-ah[Korea Institute of Science and Technology], Byeon Ayeong[Korea Institute of Science and Technology], Kang Yun-sik[Korea Institute of Science and Technology], Park Heeyoung[Korea Institute of Science and Technology], Cho Min-kyung[Korea Institute of Science and Technology], Ham Hyungchul[Inha University], Kim Jin-young[Korea Institute of Science and Technology]",valid,0
