,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
105,"화학사고 발생 시 재난약자 대상으로 소산계획 개선방안에 관한 연구
A Study on the Development of Evacuation Planning for Vulnerable Populations in Case of Chemical Accidents",0,이익모 /Ik Mo Lee,: 한국위험물학회,"김서은, 신가영, 황용우 /YONG WOO HWANG, 천영우 /CHON YOUNG WOO",10-18,0,한국위험물학회지,2019.06,,1
106,"화학사고 발생 시 필요한 합리적인 대피소 선정방법에 관한 연구
A Study on the Reasonable Selection Method of Shelter in the Event of Chemical Accident",0,천영우 /CHON YOUNG WOO,: 한국위험물학회,"김보민, 서민수 /Minsu Seo, 김기석 /Kisug Kim, 이익모 /Ik Mo Lee",90-100,0,한국위험물학회지,2019.06,,1
107,"휘발성 유기용제 취급 사업장의 위해성평가 및 위해저감 방안 수립 연구
Risk Assessment and Risk Mitigation in Volatile Organic Solvent Ink Manufacturing Industries",0,문진영 /Jin Young Moon,: 한국위험물학회,"고광훈, 김효진, 천영우 /CHON YOUNG WOO, 황용우 /YONG WOO HWANG, 이익모 /Ik Mo Lee",117-123,0,한국위험물학회지,2019.06,,1
108,"지속가능경영을 위한 ISO 요구사항 기반 정량적 협력업체 평가모델 구축 _반도체 공정에 한하여
Based on ISO Requirements for Sustainability Management Establishment of Evaluation Model for Supplier _ Only for Semiconductor Processes",0,이익모 /Ik Mo Lee,: 대한안전경영과학회,"유제영, 황용우 /YONG WOO HWANG, 김영운 /Young Woon Kim",25-41,0,대한안전경영과학회지,2019.06,,1
109,"근로자의 건강영향인지와 사망만인율을 통한 직무스트레스 해소계수 산정- 제조업 현장근로자를 중심으로 -
Estimation of Job Stress Relieve Coefficient through Recognizing Health Effects of Workers and Death Rate per 10,000 workers - A manufacturing worker -",0,황용우 /YONG WOO HWANG,: 한국산업보건학회,"한만형 /Man Hyeong Han, 천영우 /Young Woo Chon, 이익모 /Ik Mo Lee",69-81,0,한국산업보건학회지,2019.03,,1
110,Effects of jupcheong (soaking in syrup) with ginger powder on the lipid oxidation and antioxidant stability of yakgwa (Korean deep-fried confection),0,최은옥 /Eunok Choe,: 한국식품과학회,"오보영 /Boyoung Oh, 이경애 /Kyongae Lee",329-335,0,Food Science and Biotechnology,2019.04,,1
111,"반죽에 첨가한 계피, 생강, 치자가루가 약과 저장 중 지방질 산화와 산화방지제 안정성에 미치는 영향
Effects of Powdered Cinnamon, Ginger, and Gardenia Addition to the Dough on the Stability of Lipid Oxidation and Antioxidants of Yakgwa during Storage",0,최은옥 /Eunok Choe,: 한국식품조리과학회,오보영 /Boyoung Oh,151-158,0,한국식품조리과학회지,2019.04,,1
112,Interaction effect of tocopherol homologs with peppermint extract on the iron-catalyzed oxidation of soybean oil-in-water emulsion,0,최은옥 /Eunok Choe,: 한국식품과학회,김지희 /Jihee Kim,1679-1685,0,Food Science and Biotechnology,2019.12,,1
113,0,0,0,0,0,0,0,0,0,,0
114,Is the Oral Chemical Prophylaxis Necessary for the Prevention of Venous Thromboembolism after Joint Arthroplasty in a Korean Population?,0,0,: 대한고관절학회,"문경호, Joon Soon Kang, Yung-Hun Youn",150-157,0,Hip and Pelvis,2019.09,,1
115,0,0,0,0,0,0,0,0,0,,0
116,0,0,0,0,0,0,0,0,0,,0
117,"인천지역 초등학교 5학년 대상 ‘어린이 건강UP 안전한 식생활교육’ 의 영양·식품안전 지식, 태도, 실천의 변화에 대한 효과
Effects of ‘Dietary Education for Children's Health UP' on the changes in knowledge, attitudes, and practice of nutrition and food safety in 5th grade elementary school students in Incheon",0,장경자 /Kyung Ja Chang,: 한국식생활문화학회,"배미애 /Mi Ae Bae, 박소현 /So Hyun Park, 한소희 /So Hee Han, 진정희 /Jeong Hee Chin",14-22,0,한국식생활문화학회지,2019.02,,1
