,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
40,40,188072,784,Fabrication of dual-coated graphene oxide nanosheets by polypyrrole and poly(ionic liquid) and their enhanced electrorheological responses,"Liu YD(corresponding author), Choi HJ(corresponding author)","ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Chen Panpan, Cheng Qianqian, Wang Li-Min, Liu Ying Dan, Choi Hyoung Jin",106-115,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,JAN 25 2019,Choi Hyoung Jin[Inha Univ],valid
41,41,188072,785,Facile Synthesis of Solvent Cast Arabic Gum Coated Carbonyl Iron Microspheres and Their Magnetorheological Characteristics,Choi HJ(corresponding author),"AMER SCIENTIFIC PUBLISHERS, 26650 THE OLD RD, STE 208, VALENCIA, CA 91381-0751 USA","Kwon Seung Hyuk, Sim Hyung Hoon, Choi Hyoung Jin",3905-3910,Article,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,JUL 2019,"Kwon Seung Hyuk[Inha Univ], Sim Hyung Hoon[Inha Univ], Choi Hyoung Jin[Inha Univ]",valid
42,42,188072,786,"SO3H-dendrimer functionalized magnetic nanoparticles (Fe3O4@D-NH-(CH2)(4)-SO3H): Synthesis, characterization and its application as a novel and heterogeneous catalyst for the one -pot synthesis of polyfunctionalized pyrans and polyhydroquinolines",Maleki B(corresponding author),"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Maleki Behrooz, Reiser Oliver, Esmaeilnezhad Ehsan, Choi Hyoung Jin",129-141,Article,POLYHEDRON,APR 1 2019,"Reiser Oliver[Univ Regensburg], Choi Hyoung Jin[Inha Univ]",valid
43,43,188072,787,Jellyfish-shaped p-phenylenediamine functionalized graphene oxide-g-polyaniline fibers and their electrorheology,"Zhang K(corresponding author), Choi HJ(corresponding author)","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Zhang Ke, Li Haitao, Dong Yu Zhen, Zhang Honglin, Zhao Wei, Zhao Siqin, Choi Hyoung Jin",29-35,Article,POLYMER,APR 2 2019,"Zhang Ke[Harbin Inst Technol], Li Haitao[Inner Mongolia Normal Univ], Dong Yu Zhen[Inha Univ], Zhang Honglin[Harbin Inst Technol], Zhao Wei[Harbin Inst Technol], Zhao Siqin[Inner Mongolia Normal Univ], Choi Hyoung Jin[Inha Univ]",valid
44,44,188072,788,Magnetorheological characteristics of carbonyl iron microparticles with different shapes,Choi HJ(corresponding author),"KOREAN SOC RHEOLOGY, KOREA SCI TECHNOLOGY CENTER, 635-4 YUKSAM-DONG, STE 806, KANGNAM-GOO, SEOUL 135-703, SOUTH KOREA","Lee Jae Yun, Kwon Seung Hyuk, Choi Hyoung Jin",41-47,Article,KOREA-AUSTRALIA RHEOLOGY JOURNAL,FEB 2019,"Lee Jae Yun[Inha Univ], Kwon Seung Hyuk[Inha Univ], Choi Hyoung Jin[Inha Univ]",valid
45,45,188072,789,Magnetostrictive and viscoelastic characteristics of polyurethane-based magnetorheological elastomer,"Choi HJ(corresponding author), Bica I(corresponding author)","ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Bica Ioan, Anitas Eugen M., Averis Larisa Marina Elisabeth, Choi Hyoung Jin",128-133,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,MAY 25 2019,"Bica Ioan[West Univ Timisoara], Averis Larisa Marina Elisabeth[Univ Med & Pharm], Choi Hyoung Jin[Inha Univ]",valid
46,46,188072,790,Rheological effect of Zn-doped ferrite nanoparticle additive with enhanced magnetism on micro-spherical carbonyl iron based magnetorheological suspension,Choi HJ(corresponding author),"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Han Jae Kyeong, Lee Jae Yun, Choi Hyoung Jin",168-173,Article,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,JUN 20 2019,"Han Jae Kyeong[Inha Univ], Lee Jae Yun[Inha Univ], Choi Hyoung Jin[Inha Univ]",valid
47,47,188072,791,Polyindole-Coated Soft-Magnetic Particles and their Viscoelastic Behaviors under Applied Magnetic Field,Choi HJ(corresponding author),"KOREAN MAGNETICS SOC, KOREA SCIENCES & TECHNOL CTR, RM 905, YEOKSAM-DONG 635-4, KANGNAM-KU, SEOUL, 135-703, SOUTH KOREA","Park In Hye, Kwon Seung Hyuk, Choi Hyoung Jin, Kim Nam Hui, You Chun Yeol",155-161,Article; Proceedings Paper,JOURNAL OF MAGNETICS,MAR 2019,"Park In Hye[Inha Univ], Kwon Seung Hyuk[Inha Univ], Choi Hyoung Jin[Inha Univ], Kim Nam Hui[Daegu Gyeongbuk Inst Sci & Technol], You Chun Yeol[Daegu Gyeongbuk Inst Sci & Technol]",valid
48,48,188072,792,Fabrication of Magnetite Nanoparticle-embedded Polystyrene Composites and Their Additive Role on the Dynamic Properties of Carbonyl Iron-based Magneto-rheological Fluids,Choi HJ(corresponding author),"KOREAN MAGNETICS SOC, KOREA SCIENCES & TECHNOL CTR, RM 905, YEOKSAM-DONG 635-4, KANGNAM-KU, SEOUL, 135-703, SOUTH KOREA","Gao Chun Yan, Lu Qi, Choi Hyoung Jin, Kim Nam Hui, You Chun Yeol",162-167,Article; Proceedings Paper,JOURNAL OF MAGNETICS,MAR 2019,"Gao Chun Yan[Inha Univ], Lu Qi[Inha Univ], Choi Hyoung Jin[Inha Univ], Kim Nam Hui[Daegu Gyeongbuk Inst Sci & Technol], You Chun Yeol[Daegu Gyeongbuk Inst Sci & Technol]",valid
49,49,188072,793,Micron-Size White Bamboo Fibril-Based Silane Cellulose Aerogel: Fabrication and Oil Absorbent Characteristics,"Choi HJ(corresponding author), Vu CM(corresponding author)","MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Dinh Duc Nguyen, Cuong Manh Vu, Huong Thi Vu, Choi Hyoung Jin",1407,Article,MATERIALS,MAY 1 2019,Choi Hyoung Jin[Inha Univ],valid
