사번,연번,저서명(원어),저서형태,출판년월,출판사,val_title,val_저서형태,val_출판년월,val_출판사,val_author_number,val_main_author
196002,10,"Cellulose to nanocelluloses: Production, Properties and applications",전체 - 초판,201903,NOVA Science,unknown,unknown,unknown,unknown,unknown,unknown 
196002,11,Re-use and recycling of materials: Solid Waste Management and Water Treatment,전체 - 초판,201903,River publisher,unknown,unknown,unknown,unknown,unknown,unknown 
196008,18,바우하우스,chapter - 초판,201904,안그라픽스,valid,valid,valid,valid,valid,valid 
196010,20,아동생활지도와 상담,전체 - 초판,201901,양서원,valid,valid,valid,valid,valid,valid 
196010,21,부모교육,chapter - 초판,201910,파워북,valid,valid,valid,valid,valid,valid 
196067,4,슬관절학 3rd edition,chapter - 초판,201905,영창 출판사,valid,invalid,valid,valid,invalid,invalid 
197005,33,녹색기후기술백서,전체 - 개정,201902,녹색기술센터,unknown,unknown,unknown,unknown,unknown,unknown 
197019,8,동서철학사상의 만남,chapter - 초판,201912,동과서,valid,valid,valid,valid,valid,valid 
197019,9,서학의 충격과 접변,chapter - 초판,201912,동과서,valid,valid,valid,valid,valid,valid 
197019,10,동서사상의 회통,chapter - 초판,201912,동과서,valid,valid,valid,valid,valid,valid 
197019,11,동서접변 연구의 평가와 전망,chapter - 초판,201912,동과서,valid,valid,valid,valid,valid,valid 
197049,40,통계학의 개념 및 제문제,전체 - 개정,201901,KNOU Press(한국방송통신대학교출판문화원),valid,invalid,valid,valid,valid,valid 
197049,41,확률과 통계,전체 - 초판,201903,미래엔,invalid (0.71),valid,valid,valid,invalid,invalid 
198002,33,强要罪의 本質과 暴行ㆍ脅迫,전체 - 초판,201909,시스템 출판사,valid,valid,valid,valid,valid,invalid 
199014,3,신경손상학,chapter - 개정,201905,군자출판사,valid,valid,valid,valid,invalid,invalid 
199027,31,블록체인 거버넌스,전체 - 초판,201905,커뮤니케이션북스,invalid (0.10),valid,invalid,valid,valid,invalid 
199027,32,블록체인과 법,chapter - 초판,201909,박영사,valid,valid,valid,valid,invalid,invalid 
199027,33,2020 한국경제 대전망,chapter - 초판,201912,21세기북스,valid,valid,invalid,valid,invalid,invalid 
200005,9,무권대리의 판례법적 평가,전체 - 초판,201903,도서출판진원,valid,valid,valid,invalid (0.25),valid,valid 
200006,10,"Global Encyclopedia of Public Administration, Public Policy, and Governance",chapter - 초판,201907,Springer,unknown,unknown,unknown,unknown,unknown,unknown 
200006,11,SNS 민주주의와 주민참여,전체 - 초판,201907,윤성사,valid,valid,valid,valid,valid,valid 
200025,46,수영교육,전체 - 초판,201909,레인보우북스,invalid (0.20),valid,valid,valid,valid,valid 
200026,31,High School English 2,전체 - 초판,201903,천재교육,valid,valid,valid,valid,valid,valid 
200027,20,헌법I,전체 - 개정,201902,박영사,invalid (0.67),invalid,valid,valid,valid,valid 
